iter	Passed	Remaining
440	1233	1564
441	1235	1559
442	1236	1554
443	1237	1549
444	1238	1544
445	1239	1539
446	1241	1535
447	1244	1533
448	1246	1529
449	1248	1526
450	1250	1522
451	1251	1517
452	1252	1512
453	1254	1508
454	1257	1506
455	1258	1501
456	1262	1500
457	1264	1496
458	1265	1491
459	1266	1486
460	1267	1481
461	1268	1476
462	1269	1472
463	1272	1470
464	1273	1465
465	1275	1461
466	1276	1457
467	1278	1452
468	1279	1448
469	1280	1443
470	1281	1439
471	1282	1434
472	1283	1430
473	1285	1426
474	1288	1423
475	1292	1422
476	1293	1418
477	1294	1413
478	1295	1409
479	1296	1404
480	1297	1400
481	1299	1396
482	1300	1391
483	1305	1391
484	1307	1388
485	1309	1384
486	1310	1380
487	1311	1376
488	1313	1372
489	1315	1369
490	1317	1366
491	1319	1362
492	1320	1357
493	1321	1353
494	1327	1354
495	1330	1352
496	1332	1349
497	1334	1345
498	1335	1340
499	1336	1336
500	1337	1332
501	1338	1328
502	1340	1324
503	1344	1322
504	1347	1321
505	1349	1317
506	1350	1313
507	1351	1308
508	1352	1305
509	1360	1306
510	1361	1303
511	1363	1299
512	1364	1295
513	1365	1291
514	1366	1286
515	1367	1282
516	1372	1282
517	1374	1278
518	1375	1274
519	1376	1270
520	1377	1266
521	1378	1262
522	1379	1258
523	1380	1254
524	1381	1250
525	1389	1252
526	1392	1249
527	1394	1246
528	1395	1242
529	1396	1238
530	1398	1234
531	1399	1231
532	1403	1229
533	1405	1226
534	1406	1222
535	1407	1218
536	1409	1214
537	1410	1211
538	1411	1207
539	1412	1203
540	1414	1199
541	1421	1201
542	1423	1197
543	1424	1194
544	1425	1190
545	1427	1186
546	1429	1183
547	1432	1181
548	1433	1177
549	1434	1173
550	1435	1169
551	1436	1166
552	1437	1162
553	1439	1158
554	1440	1154
555	1444	1153
556	1447	1150
557	1448	1147
558	1449	1143
559	1451	1140
560	1452	1136
561	1453	1132
562	1454	1128
563	1459	1128
564	1462	1126
565	1464	1123
566	1466	1119
567	1467	1115
568	1468	1112
569	1469	1108
570	1470	1104
571	1471	1101
572	1473	1097
573	1476	1095
574	1479	1093
575	1482	1091
576	1483	1087
577	1484	1084
578	1486	1081
579	1490	1079
580	1491	1075
581	1492	1071
582	1493	1068
583	1494	1064
584	1495	1060
585	1496	1057
586	1498	1054
587	1499	1050
588	1501	1047
589	1502	1044
590	1505	1041
591	1506	1038
592	1507	1034
593	1508	1031
594	1509	1027
595	1512	1025
596	1515	1023
597	1522	1023
598	1523	1020
599	1525	1017
600	1527	1013
601	1528	1010
602	1529	1006
603	1530	1003
604	1532	1000
605	1534	997
606	1537	995
607	1539	992
608	1540	989
609	1542	986
610	1543	982
611	1544	979
612	1546	976
613	1556	978
614	1557	975
615	1558	971
616	1559	968
617	1561	965
618	1563	962
619	1565	959
620	1566	956
621	1568	952
622	1569	949
623	1570	946
624	1571	943
625	1572	939
626	1573	936
627	1576	933
628	1581	933
629	1583	930
630	1584	926
631	1585	923
632	1588	920
633	1589	917
634	1592	915
635	1595	913
636	1596	910
637	1598	906
638	1599	903
639	1600	900
640	1601	897
641	1602	893
642	1604	890
643	1605	887
644	1610	886
645	1611	882
646	1612	879
647	1613	876
648	1614	873
649	1615	869
650	1616	866
651	1617	863
652	1619	860
653	1620	857
654	1622	854
655	1624	851
656	1625	848
657	1626	845
658	1628	842
659	1629	839
660	1631	836
661	1632	833
662	1633	830
663	1635	827
664	1638	825
665	1640	822
666	1642	819
667	1643	816
668	1644	813
669	1645	810
670	1646	807
671	1656	808
672	1658	805
673	1659	802
674	1660	799
675	1663	797
676	1666	795
677	1667	791
678	1669	789
679	1671	786
680	1672	783
681	1673	780
682	1674	777
683	1676	774
684	1677	771
685	1680	769
686	1682	766
687	1683	763
688	1686	761
689	1687	758
690	1688	755
691	1690	752
692	1691	749
693	1695	747
694	1697	744
695	1698	741
696	1699	738
697	1701	736
698	1702	733
699	1703	730
700	1704	727
701	1706	724
702	1709	722
703	1710	719
704	1712	716
705	1713	713
706	1714	710
707	1716	707
708	1717	705
709	1719	702
710	1720	699
711	1722	696
712	1724	694
713	1726	691
714	1727	688
715	1729	685
716	1730	683
717	1731	680
718	1732	677
719	1733	674
720	1738	672
721	1740	670
722	1741	667
723	1743	664
724	1745	662
725	1746	659
726	1747	656
727	1748	653
728	1750	650
729	1753	648
730	1755	646
731	1757	643
732	1758	640
733	1759	637
734	1760	634
735	1761	631
736	1762	629
737	1763	626
738	1765	623
739	1768	621
740	1772	619
741	1774	617
742	1775	614
743	1777	611
744	1778	608
745	1782	606
746	1784	604
747	1785	601
748	1786	598
749	1787	595
750	1789	593
751	1791	590
752	1792	587
753	1793	585
754	1795	582
755	1797	580
756	1799	577
757	1800	574
758	1801	572
759	1803	569
760	1805	566
761	1806	564
762	1807	561
763	1811	559
764	1814	557
765	1815	554
766	1816	551
767	1817	549
768	1818	546
769	1819	543
770	1821	540
771	1822	538
772	1823	535
773	1827	533
774	1829	531
775	1831	528
776	1832	525
777	1833	523
778	1834	520
779	1835	517
780	1836	515
781	1838	512
782	1841	510
783	1843	507
784	1845	505
785	1846	502
786	1848	500
787	1849	497
788	1850	494
789	1851	492
790	1853	489
791	1855	487
792	1858	485
793	1860	482
794	1862	480
795	1864	477
796	1866	475
797	1868	472
798	1871	470
799	1872	468
800	1874	465
801	1875	463
802	1876	460
803	1878	457
804	1879	455
805	1880	452
806	1884	450
807	1886	448
808	1888	445
809	1889	443
810	1893	441
811	1895	438
812	1896	436
813	1900	434
814	1902	431
815	1903	429
816	1905	426
817	1906	424
818	1908	421
819	1909	419
820	1910	416
821	1913	414
822	1914	411
823	1916	409
824	1917	406
825	1919	404
826	1920	401
827	1921	399
828	1922	396
829	1926	394
830	1928	392
831	1930	389
832	1931	387
833	1932	384
834	1934	382
835	1935	379
836	1936	377
837	1937	374
838	1941	372
839	1945	370
840	1948	368
841	1949	365
842	1950	363
843	1951	360
844	1953	358
845	1955	356
846	1958	353
847	1960	351
848	1961	348
849	1963	346
850	1964	343
851	1965	341
852	1966	338
853	1967	336
854	1969	333
855	1971	331
856	1973	329
857	1974	326
858	1975	324
859	1977	321
860	1978	319
861	1979	316
862	1980	314
863	1983	312
864	1986	310
865	1988	307
866	1989	305
867	1991	302
868	1992	300
869	1993	297
870	1994	295
871	1996	293
872	1998	290
873	2001	288
874	2003	286
875	2005	283
876	2006	281
877	2007	278
878	2008	276
879	2009	274
880	2012	271
881	2014	269
882	2016	267
883	2017	264
884	2019	262
885	2020	259
886	2021	257
887	2022	255
888	2023	252
889	2025	250
890	2028	248
891	2030	245
892	2035	243
893	2037	241
894	2039	239
895	2043	237
896	2045	234
897	2046	232
898	2047	230
899	2048	227
900	2050	225
901	2051	222
902	2052	220
903	2059	218
904	2060	216
905	2062	214
906	2063	211
907	2065	209
908	2066	206
909	2067	204
910	2069	202
911	2072	200
912	2074	197
913	2075	195
914	2076	192
915	2077	190
916	2078	188
917	2080	185
918	2081	183
919	2087	181
920	2089	179
921	2090	176
922	2092	174
923	2093	172
924	2094	169
925	2095	167
926	2097	165
927	2099	162
928	2103	160
929	2106	158
930	2107	156
931	2108	153
932	2109	151
933	2110	149
934	2111	146
935	2119	144
936	2121	142
937	2123	140
938	2124	138
939	2125	135
940	2127	133
941	2128	131
942	2132	128
943	2133	126
944	2134	124
945	2135	121
946	2137	119
947	2138	117
948	2140	115
949	2141	112
950	2142	110
951	2147	108
952	2149	105
953	2150	103
954	2151	101
955	2152	99
956	2155	96
957	2157	94
958	2163	92
959	2165	90
960	2166	87
961	2167	85
962	2168	83
963	2169	81
964	2185	79
965	2186	76
966	2187	74
967	2189	72
968	2192	70
969	2194	67
970	2195	65
971	2196	63
972	2197	60
973	2198	58
974	2203	56
975	2207	54
976	2209	52
977	2210	49
978	2211	47
979	2212	45
980	2213	42
981	2214	40
982	2215	38
983	2222	36
984	2225	33
985	2227	31
986	2228	29
987	2230	27
988	2232	24
989	2233	22
990	2240	20
991	2242	18
992	2243	15
993	2244	13
994	2246	11
995	2247	9
996	2248	6
997	2249	4
998	2252	2
999	2254	0
